date_start,date_end,event_name,event_url,even_loc
2016-07-13,2016-07-13,"Curtin Institute for Computation Research Seminar - Visualisation, Virtual Reality and Virtual Heritage",http://us13.campaign-archive2.com/?u=038433f27b4e111d659fe9d13&id=98c2f8841d,"Perth, Australia"
2016-07-16,2016-07-19,30th Symposium of the Protein Society,http://www.proteinsociety.org/meetings/symposium/,"Baltimore, US"
2016-07-19,2016-07-21,Protein Electrostatics Berlin 2016,http://www.electrostatics-berlin.de/,"Berlin, Germany"
2016-07-17,2016-07-22,Ninth Congress of the International Society for Theoretical Chemical Physics,http://istcp-2016.org/,"Grand Forks, ND - USA"
2016-07-22,2016-07-26,American Crystallographic Association 66th annual meeting - workshops,http://www.amercrystalassn.org/2016-workshops,"Denver, US"
2016-07-23,2016-07-24,Bridging Computation and Experiment at All Scales,https://www.grc.org/programs.aspx?id=16462,"Girona, Spain"
2016-07-23,2016-07-25,Advancing the Frontiers of (Bio)Chemistry with Valence Bond Approaches,Bio,https://www.fourwav.es/view/192/info/
2016-07-23,2016-07-30,Quantum Monte Carlo and the CASINO program international summer school,https://vallico.net/casinoqmc/summer-schools/,"Vallico Sotto, Tuscany, Italy"
2016-07-24,2016-07-29,Theory and Simulation Across Scales in Molecular Science,https://www.grc.org/programs.aspx?id=11141,"Girona, Spain"
2016-07-25,2016-07-28,CCPN / CCPBioSim joint conference 2016,http://www.ccpn.ac.uk/meetings/upcoming-meetings/ccpn-ccpbiosim-joint-conference-buxton-2016/ccpn-ccp-biosim-joint-conference-2016,"Buxton, UK"
2016-08-04,2016-08-04,New York Structural Biology Discussion Group Summer 2016 Meeting,https://www.eventbrite.com/e/new-york-structural-biology-discussion-group-summer-2016-meeting-tickets-26286099431?ref=estwenivtefor001,"New York, US"
2016-08-07,2016-08-09,RosettaCon,http://www.rosettadesigngroup.com/rosettacon/,"Leavenworth, US"
2016-08-16,2016-08-19,International Workshop on Biomembranes: The consequences of complexity,https://www.cecam.org/workshop-1330.html,"Espoo, Finland"
2016-08-19,2016-08-19,QuantumWise: ATK hands-on workshop,http://quantumwise.com/publications/quantumwise-news/item/956-hands-on-workshop-in-copenhagen-denmark,"Copenhagen, Netherlands"
2016-08-28,2016-09-01,Medicinal chemistry,http://www.ldorganisation.com/v2/produits.php?cle_menus=1238915829,"Manchester, UK"
2016-08-23,2016-08-26,CP2K: Summer School 2016,https://www.epcc.ed.ac.uk/cp2k-summer-school-2016,"London, UK"
2016-09-04,2016-09-04,BioExcel 1st Annual Meeting: “Advanced Simulations for Biomolecular Research” SIG @ ECCB 2016,http://bioexcel.eu/events/sig-bioexcel-1/,"The Hague, Netherlands"
2016-09-04,2016-09-08,21st European Symposium on Quantitative Structure-Activity Relationship,http://www.ldorganisation.com/v2/produits.php?cle_menus=1238915962,"Verona, Italy"
2016-09-06,2016-09-06,ChemAxon User Meeting in Tokyo,https://www.chemaxon.com/events/conferences/chemaxon-user-meeting-in-tokyo/,"Tokyo, Japan"
2016-09-07,2016-09-09,CCP4 Northern Protein Structure Workshop 2016,https://www2.le.ac.uk/departments/molcellbiol/staff/khushwant-sidhu/ccp4,"Carlisle, UK"
2016-09-08,2016-09-08,ChemAxon User Meeting in Osaka,https://www.chemaxon.com/events/conferences/chemaxon-user-meeting-in-osaka/,"Osaka, Japan"
2016-09-09,2016-09-09,Big Data in Biomolecular Systems,https://bigdatamgms.wordpress.com/,"London, UK"
2016-09-11,2016-09-15,6th EuCheMS Chemistry Congress,http://euchems-seville2016.eu/,"Sevilla, Spain"
2016-09-11,2016-09-23,7th Time-Dependent Density-Functional Theory: Prospects and Applications,http://www.benasque.org/2016tddft/,"Benasque, Spain"
2016-09-13,2016-09-15,ChemAxon 9th US Annual Meeting,https://www.chemaxon.com/events/annual-meeting-boston-2016/,"Boston, US"
